"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Quentin Grimes","PHI",154,322,64,16,29,0.5517241379310345,9,30,0.3,0.3,5,18,14,21,6,0.5625,0.5625,0.7777777777777778,0.5084745762711864,0.5614542372881356,0.5,0.5161290322580645,0,2,0.06896551724137931,1,0.03333333333333333,19.88795518207283
"Aaron Wiggins","OKC",154,318,70,13,30,0.43333333333333335,11,30,0.36666666666666664,0.36666666666666664,11,14,12,30,3,0.5384615384615384,0.6363636363636364,0.9090909090909091,0.5,0.5714541666666666,0.49166666666666664,0.5303030303030303,4,6,0.2,0,0,21.34831460674157
"Isaiah Collier","UTA",153,320,58,19,39,0.48717948717948717,1,11,0.09090909090909091,0.09090909090909091,17,8,30,3,0,0.21052631578947367,0.2222222222222222,1,0.22,0.5167080000000002,0.41,0.4915254237288136,2,4,0.10256410256410256,0,0,20.72829131652661
"Will Richard","GSW",153,316,58,11,13,0.8461538461538461,11,30,0.36666666666666664,0.36666666666666664,3,18,4,30,3,0.8181818181818182,0.9,0.9090909090909091,0.6976744186046512,0.6109116279069767,0.6395348837209303,0.6444444444444445,2,1,0.07692307692307693,0,0,13.390313390313391
"Cam Spencer","MEM",153,307,50,6,14,0.42857142857142855,11,26,0.4230769230769231,0.4230769230769231,5,4,8,27,6,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.65,0.5449712499999999,0.5625,0.5833333333333334,0,1,0.07142857142857142,0,0,13.333333333333332
"Jalen Smith","CHI",152,316,90,15,20,0.75,18,33,0.5454545454545454,0.5454545454545454,6,26,4,54,0,0.8666666666666667,0.9285714285714286,1,0.6226415094339622,0.5924,0.7924528301886793,0.8035714285714286,2,2,0.1,0,0,17.816091954022987
"Justin Champagnie","WAS",148,314,52,14,29,0.4827586206896552,6,13,0.46153846153846156,0.46153846153846156,6,22,6,18,0,0.7857142857142857,1,1,0.30952380952380953,0.5846809523809524,0.5476190476190477,0.5777777777777777,6,5,0.1724137931034483,1,0.07692307692307693,13.597733711048159
"Ja Morant","MEM",145,308,84,27,57,0.47368421052631576,5,22,0.22727272727272727,0.22727272727272727,15,14,40,12,3,0.25925925925925924,0.25925925925925924,0.8,0.27848101265822783,0.5264480769230769,0.43670886075949367,0.4883720930232558,0,5,0.08771929824561403,0,0,28.448275862068964
"Domantas Sabonis","SAC",144,295,79,35,64,0.546875,0,8,0,0,9,44,26,0,0,0.6285714285714286,0.7857142857142857,0,0.1111111111111111,0.5467958333333334,0.4861111111111111,0.5064102564102564,14,7,0.109375,0,0,26.023391812865498
"De'Anthony Melton","GSW",142,286,68,13,22,0.5909090909090909,11,34,0.3235294117647059,0.3235294117647059,9,6,20,24,9,0.23076923076923078,0.2727272727272727,0.7272727272727273,0.6071428571428571,0.5622098214285713,0.5267857142857143,0.5666666666666667,4,1,0.045454545454545456,0,0,20.679012345679013
"Ja'Kobe Walter","TOR",142,286,54,7,14,0.5,11,29,0.3793103448275862,0.3793103448275862,7,8,6,33,0,0.5714285714285714,0.6666666666666666,1,0.6744186046511628,0.6032860465116279,0.5465116279069767,0.574468085106383,2,3,0.21428571428571427,1,0.034482758620689655,15.723270440251572
"Kobe Sanders","LAC",142,290,59,12,18,0.6666666666666666,11,23,0.4782608695652174,0.4782608695652174,2,12,12,30,3,0.5,0.6,0.9090909090909091,0.5609756097560976,0.5403719512195122,0.6951219512195121,0.7023809523809523,4,0,0,0,0,15.838509316770185
"Ousmane Dieng","MIL",141,292,42,8,24,0.3333333333333333,8,22,0.36363636363636365,0.36363636363636365,2,6,10,21,3,0.375,0.375,0.875,0.4782608695652174,0.5340673913043478,0.43478260869565216,0.44680851063829785,0,2,0.08333333333333333,0,0,18.095238095238095
"Adem Bona","PHI",139,285,38,16,29,0.5517241379310345,0,2,0,0,6,18,14,0,0,0.5625,0.9,0,0.06451612903225806,0.6135080645161289,0.5161290322580645,0.5588235294117647,12,2,0.06896551724137931,0,0,11.585365853658537
"Collin Sexton","CHA",137,300,81,26,38,0.6842105263157895,5,23,0.21739130434782608,0.21739130434782608,14,28,24,9,6,0.5384615384615384,0.5384615384615384,0.6,0.3770491803278688,0.5657393442622951,0.5491803278688525,0.5955882352941176,0,3,0.07894736842105263,0,0,23.92638036809816
"Guerschon Yabusele","CHI",137,291,39,8,16,0.5,6,30,0.2,0.2,5,6,10,18,0,0.375,0.375,1,0.6521739130434783,0.5777902173913043,0.3695652173913043,0.39,0,3,0.1875,1,0.03333333333333333,18.670886075949365
"Danny Wolf","BKN",134,260,50,11,22,0.5,7,22,0.3181818181818182,0.3181818181818182,7,14,8,21,0,0.6363636363636364,0.7,1,0.5,0.5601568181818181,0.48863636363636365,0.5102040816326531,2,1,0.045454545454545456,0,0,20.070422535211268
"Dejounte Murray","NOP",132,270,86,24,32,0.75,9,23,0.391304347826087,0.391304347826087,11,12,36,21,6,0.25,0.25,0.7777777777777778,0.41818181818181815,0.5338799999999999,0.6818181818181818,0.7166666666666667,0,1,0.03125,0,0,23.841059602649008
"Taylor Hendricks","UTA",131,266,24,7,15,0.4666666666666667,2,14,0.14285714285714285,0.14285714285714285,4,10,4,6,0,0.7142857142857143,0.8333333333333334,1,0.4827586206896552,0.6072775862068965,0.3448275862068966,0.375,2,2,0.13333333333333333,0,0,12.871287128712872
"Miles McBride","NYK",130,248,59,3,10,0.3,17,38,0.4473684210526316,0.4473684210526316,2,2,4,45,6,0.3333333333333333,0.3333333333333333,0.8823529411764706,0.7916666666666666,0.5633041666666667,0.59375,0.6020408163265306,0,0,0,1,0.02631578947368421,17.406143344709896
"Jonathan Kuminga","GSW",130,268,66,18,34,0.5294117647058824,6,15,0.4,0.4,12,16,20,18,0,0.4444444444444444,0.4444444444444444,1,0.30612244897959184,0.5400448979591836,0.5510204081632653,0.5789473684210527,0,4,0.11764705882352941,0,0,22.945205479452056
"Mike Conley","MIN",130,268,47,3,4,0.75,12,24,0.5,0.5,5,4,2,30,6,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8571428571428571,0.5666946428571429,0.75,0.7833333333333333,0,0,0,0,0,11.683848797250858
"Trae Young","ATL",127,275,84,22,35,0.6285714285714286,8,17,0.47058823529411764,0.47058823529411764,16,26,18,12,12,0.5909090909090909,0.5909090909090909,0.5,0.3269230769230769,0.5194461538461539,0.6538461538461539,0.7280701754385965,0,1,0.02857142857142857,0,0,23.7012987012987
"Jericho Sims","MIL",125,251,38,17,23,0.7391304347826086,0,0,0,0,4,30,4,0,0,0.8823529411764706,0.9375,0,0,0.6892391304347826,0.7391304347826086,0.7307692307692307,2,3,0.13043478260869565,0,0,12.367491166077738
"Quenton Jackson","IND",124,267,42,11,21,0.5238095238095238,6,14,0.42857142857142855,0.42857142857142855,2,14,8,18,0,0.6363636363636364,0.6363636363636364,1,0.4,0.5851342857142856,0.5714285714285714,0.5833333333333334,0,5,0.23809523809523808,0,0,15.15151515151515
"Kevin Huerter","DET",123,256,64,21,25,0.84,6,23,0.2608695652173913,0.2608695652173913,4,40,2,18,0,0.9523809523809523,0.9523809523809523,1,0.4791666666666667,0.5724364583333333,0.625,0.64,0,0,0,0,0,19.71830985915493
"Jayson Tatum","BOS",123,255,86,23,36,0.6388888888888888,11,30,0.36666666666666664,0.36666666666666664,7,22,24,18,15,0.4782608695652174,0.5,0.5454545454545454,0.45454545454545453,0.5346325757575756,0.5984848484848485,0.6231884057971014,2,2,0.05555555555555555,0,0,27.24137931034483
"Ty Jerome","MEM",122,245,100,22,38,0.5789473684210527,14,36,0.3888888888888889,0.3888888888888889,14,12,32,15,27,0.2727272727272727,0.3,0.35714285714285715,0.4864864864864865,0.5126993243243244,0.581081081081081,0.6265822784810127,4,2,0.05263157894736842,1,0.027777777777777776,30.545454545454547
"Landry Shamet","NYK",121,241,37,5,10,0.5,8,27,0.2962962962962963,0.2962962962962963,3,8,2,24,0,0.8,1,1,0.7297297297297297,0.5590243243243244,0.4594594594594595,0.4868421052631579,2,2,0.2,0,0,13.829787234042554
"Yves Missi","NOP",118,243,26,12,21,0.5714285714285714,0,0,0,0,2,18,6,0,0,0.75,0.8181818181818182,0,0,0.5600714285714286,0.5714285714285714,0.5652173913043478,2,1,0.047619047619047616,0,0,11.231884057971016
"Kris Murray","POR",118,245,36,11,17,0.6470588235294118,4,15,0.26666666666666666,0.26666666666666666,2,10,12,12,0,0.45454545454545453,0.5555555555555556,1,0.46875,0.6150546874999999,0.53125,0.5454545454545454,4,2,0.11764705882352941,0,0,12.5
"Bryce McGowens","NOP",116,246,35,8,20,0.4,5,12,0.4166666666666667,0.4166666666666667,4,10,6,15,0,0.625,0.625,1,0.375,0.5549484374999999,0.484375,0.5147058823529411,0,4,0.2,0,0,12.544802867383513
"Isaiah Stewart","DET",114,231,44,13,21,0.6190476190476191,4,18,0.2222222222222222,0.2222222222222222,6,16,10,12,0,0.6153846153846154,1,1,0.46153846153846156,0.5642858974358975,0.48717948717948717,0.5238095238095238,10,1,0.047619047619047616,0,0,17.24137931034483
"Ziaire Williams","BKN",114,230,60,12,18,0.6666666666666666,11,21,0.5238095238095238,0.5238095238095238,3,14,10,33,0,0.5833333333333334,0.5833333333333334,1,0.5384615384615384,0.5851217948717948,0.7307692307692307,0.7317073170731707,0,1,0.05555555555555555,0,0,18.548387096774192
"Brandon Williams","DAL",112,236,59,16,36,0.4444444444444444,5,11,0.45454545454545453,0.45454545454545453,12,12,20,15,0,0.375,0.375,1,0.23404255319148937,0.5550308510638299,0.5,0.5566037735849056,0,5,0.1388888888888889,0,0,24.43609022556391
"Ryan Dunn","PHX",112,225,41,12,18,0.6666666666666666,5,16,0.3125,0.3125,2,14,10,15,0,0.5833333333333334,1,1,0.47058823529411764,0.5850558823529411,0.5735294117647058,0.5694444444444444,10,1,0.05555555555555555,0,0,14.84375
"Ajay Mitchell","OKC",107,221,55,19,31,0.6129032258064516,4,10,0.4,0.4,5,10,28,12,0,0.2631578947368421,0.2631578947368421,1,0.24390243902439024,0.5411621951219513,0.6097560975609756,0.625,0,0,0,0,0,19.10569105691057
"Sandro Mamukelashvili","TOR",105,208,44,6,12,0.5,10,19,0.5263157894736842,0.5263157894736842,2,8,4,30,0,0.6666666666666666,0.8,1,0.6129032258064516,0.5756032258064515,0.6774193548387096,0.6470588235294118,2,0,0,0,0,15.06276150627615
"Mitchell Robinson","NYK",105,204,30,15,28,0.5357142857142857,0,0,0,0,0,14,16,0,0,0.4666666666666667,1,0,0,0.6534821428571428,0.5357142857142857,0.5357142857142857,16,2,0.07142857142857142,0,0,13.306451612903226
"Isaiah Jackson","IND",99,210,28,10,22,0.45454545454545453,0,0,0,0,8,12,8,0,0,0.6,0.6666666666666666,0,0,0.5772500000000002,0.45454545454545453,0.5185185185185185,2,2,0.09090909090909091,0,0,13.596491228070176
"Kasparas Jakučionis","MIA",98,224,35,3,8,0.375,8,17,0.47058823529411764,0.47058823529411764,5,6,0,24,0,1,1,1,0.68,0.577494,0.6,0.625,0,2,0.25,1,0.058823529411764705,12.64822134387352
"Kentavious Caldwell-Pope","MEM",98,195,30,7,21,0.3333333333333333,5,11,0.45454545454545453,0.45454545454545453,1,10,4,15,0,0.7142857142857143,0.7142857142857143,1,0.34375,0.5066437500000001,0.453125,0.45454545454545453,0,0,0,0,0,17.647058823529413
"Caleb Martin","DAL",98,210,27,8,17,0.47058823529411764,2,8,0.25,0.25,5,10,6,6,0,0.625,0.625,1,0.32,0.5840420000000001,0.44,0.45,0,2,0.11764705882352941,0,0,14.830508474576272
"Ochai Agbaji","TOR",97,195,38,12,19,0.631578947368421,3,11,0.2727272727272727,0.2727272727272727,5,16,8,9,0,0.6666666666666666,1,1,0.36666666666666664,0.5912000000000001,0.55,0.59375,8,4,0.21052631578947367,0,0,15.137614678899082
"Keon Ellis","CLE",95,198,41,7,12,0.5833333333333334,9,14,0.6428571428571429,0.6428571428571429,0,10,4,27,0,0.7142857142857143,0.8333333333333334,1,0.5384615384615384,0.5716019230769229,0.7884615384615384,0.7884615384615384,2,2,0.16666666666666666,0,0,13.698630136986301
"Tristan Vukcevic","WAS",94,204,85,20,33,0.6060606060606061,11,23,0.4782608695652174,0.4782608695652174,12,26,14,27,6,0.65,0.6842105263157895,0.8181818181818182,0.4107142857142857,0.5465633928571428,0.6517857142857143,0.6854838709677419,2,2,0.06060606060606061,0,0,28.508771929824565
"Al Horford","GSW",93,193,52,9,13,0.6923076923076923,10,28,0.35714285714285715,0.35714285714285715,4,12,6,30,0,0.6666666666666666,0.8571428571428571,1,0.6829268292682927,0.5521585365853658,0.5853658536585366,0.6046511627906976,4,0,0,0,0,20.833333333333332
"Julian Strawther","DEN",93,194,46,10,13,0.7692307692307693,8,19,0.42105263157894735,0.42105263157894735,2,16,4,24,0,0.8,0.8,1,0.59375,0.5719765625,0.6875,0.71875,0,0,0,0,0,16.19047619047619
"Dwight Powell","DAL",92,194,16,5,9,0.5555555555555556,0,0,0,0,6,8,2,0,0,0.8,1,0,0,0.6276,0.5555555555555556,0.5714285714285714,2,3,0.3333333333333333,0,0,9.134615384615385
"Vince Williams Jr.","MEM",91,184,20,7,18,0.3888888888888889,2,16,0.125,0.125,0,2,12,6,0,0.14285714285714285,0.16666666666666666,1,0.47058823529411764,0.5212338235294117,0.29411764705882354,0.29411764705882354,2,1,0.05555555555555555,0,0,18.867924528301884
"Pat Spencer","GSW",91,188,45,9,16,0.5625,8,16,0.5,0.5,3,8,10,15,9,0.4444444444444444,0.5,0.625,0.5,0.5535015624999999,0.65625,0.6617647058823529,2,2,0.125,1,0.0625,16.74418604651163
"Marvin Bagley III","DAL",90,180,49,21,32,0.65625,1,1,1,1,4,30,12,3,0,0.7142857142857143,0.9375,1,0.030303030303030304,0.5744318181818181,0.6818181818181818,0.6805555555555556,10,2,0.0625,0,0,20.895522388059703
"Santi Aldama","MEM",90,192,55,16,26,0.6153846153846154,6,16,0.375,0.375,5,26,6,18,0,0.8125,0.8666666666666667,1,0.38095238095238093,0.5275952380952381,0.5952380952380952,0.6111111111111112,2,0,0,0,0,23.008849557522126
"Corey Kispert","ATL",89,197,56,13,23,0.5652173913043478,8,20,0.4,0.4,6,22,4,24,0,0.8461538461538461,0.8461538461538461,1,0.46511627906976744,0.5826127906976745,0.5813953488372093,0.6222222222222222,0,1,0.043478260869565216,0,0,23.041474654377883
"Paul Reed","DET",86,174,50,19,28,0.6785714285714286,3,8,0.375,0.375,3,30,8,9,0,0.7894736842105263,0.8333333333333334,1,0.2222222222222222,0.5561833333333333,0.6527777777777778,0.6578947368421053,2,1,0.03571428571428571,1,0.125,21.07843137254902
"Jaylin Williams","OKC",85,175,39,5,9,0.5555555555555556,9,28,0.32142857142857145,0.32142857142857145,2,10,0,27,0,1,1,1,0.7567567567567568,0.5383081081081081,0.5,0.5,0,0,0,0,0,21.693121693121693
"Javon Small","MEM",85,174,43,5,10,0.5,9,13,0.6923076923076923,0.6923076923076923,6,4,6,12,15,0.4,0.4,0.4444444444444444,0.5652173913043478,0.5772956521739129,0.8043478260869565,0.8269230769230769,0,2,0.2,0,0,19.270833333333336
"Drew Eubanks","SAC",84,173,25,12,21,0.5714285714285714,0,0,0,0,1,18,6,0,0,0.75,1,0,0,0.49437619047619047,0.5714285714285714,0.5434782608695652,6,2,0.09523809523809523,0,0,13.989637305699482
"Justin Edwards","PHI",83,179,54,10,15,0.6666666666666666,11,18,0.6111111111111112,0.6111111111111112,1,10,10,24,9,0.5,0.5,0.7272727272727273,0.5454545454545454,0.5292181818181818,0.803030303030303,0.8181818181818182,0,0,0,0,0,18.7192118226601
"Vít Krejčí","ATL",82,174,11,1,4,0.25,2,16,0.125,0.125,3,2,0,6,0,1,1,1,0.8,0.5646824999999999,0.2,0.25,0,0,0,0,0,13.297872340425533
"Zach Edey","MEM",81,167,47,20,29,0.6896551724137931,1,1,1,1,4,32,8,3,0,0.8,0.8888888888888888,1,0.03333333333333333,0.6043066666666665,0.7166666666666667,0.734375,4,0,0,0,0,20.942408376963353
"Simone Fontecchio","MIA",80,172,41,4,7,0.5714285714285714,9,18,0.5,0.5,6,6,2,27,0,0.75,1,1,0.72,0.578512,0.7,0.7592592592592593,2,0,0,1,0.05555555555555555,14.57286432160804
"Jaxson Hayes","LAL",78,159,38,15,19,0.7894736842105263,1,1,1,1,5,28,2,3,0,0.9333333333333333,1,1,0.05,0.65526,0.825,0.7916666666666666,2,0,0,0,0,14.367816091954023
"Josh Minott","BKN",76,149,28,9,13,0.6923076923076923,2,8,0.25,0.25,4,12,6,6,0,0.6666666666666666,0.6666666666666666,1,0.38095238095238093,0.5891404761904762,0.5714285714285714,0.6086956521739131,0,2,0.15384615384615385,0,0,14.285714285714286
"Elijah Harkless","UTA",75,163,10,3,7,0.42857142857142855,0,7,0,0,4,6,0,0,0,1,1,0,0.5,0.5695428571428571,0.21428571428571427,0.29411764705882354,0,1,0.14285714285714285,0,0,10.112359550561798
"Jamal Shead","TOR",75,150,17,6,11,0.5454545454545454,1,9,0.1111111111111111,0.1111111111111111,2,6,6,3,0,0.5,0.5,1,0.45,0.5292475,0.375,0.40476190476190477,0,0,0,0,0,13.450292397660819
"Ethan Thompson","IND",75,153,25,3,7,0.42857142857142855,5,12,0.4166666666666667,0.4166666666666667,4,6,0,12,3,1,1,0.8,0.631578947368421,0.56745,0.5526315789473685,0.5952380952380952,0,1,0.14285714285714285,0,0,12.209302325581396
"Tyus Jones","ORL",74,154,15,2,8,0.25,3,7,0.42857142857142855,0.42857142857142855,2,4,0,9,0,1,1,1,0.4666666666666667,0.5474766666666666,0.43333333333333335,0.46875,0,0,0,0,0,9.63855421686747
"Bobby Portis","MIL",74,151,42,13,22,0.5909090909090909,5,10,0.5,0.5,1,16,10,15,0,0.6153846153846154,0.6666666666666666,1,0.3125,0.5058984375,0.640625,0.65625,2,2,0.09090909090909091,0,0,19.767441860465116
"Myron Gardner","MIA",73,157,25,6,13,0.46153846153846156,4,8,0.5,0.5,1,6,6,12,0,0.5,0.75,1,0.38095238095238093,0.6020928571428572,0.5714285714285714,0.5952380952380952,4,3,0.23076923076923078,0,0,12.087912087912088
"Jordan Goodwin","PHX",70,135,18,3,5,0.6,4,14,0.2857142857142857,0.2857142857142857,0,2,4,12,0,0.3333333333333333,1,1,0.7368421052631579,0.5604894736842105,0.47368421052631576,0.47368421052631576,4,1,0.2,0,0,14.285714285714285
"Day'Ron Sharpe","BKN",69,137,27,10,14,0.7142857142857143,0,1,0,0,7,8,12,0,0,0.4,0.5714285714285714,0,0.06666666666666667,0.5666033333333332,0.6666666666666666,0.675,6,0,0,0,0,17.880794701986755
"Devin Carter","SAC",69,139,30,7,13,0.5384615384615384,5,13,0.38461538461538464,0.38461538461538464,1,2,12,9,6,0.14285714285714285,0.16666666666666666,0.6,0.5,0.58865,0.5576923076923077,0.5769230769230769,2,0,0,0,0,18.633540372670808
"Gabe Vincent","LAL",67,139,14,1,2,0.5,3,13,0.23076923076923078,0.23076923076923078,3,0,2,6,3,0,0,0.6666666666666666,0.8666666666666667,0.5669166666666665,0.36666666666666664,0.4375,0,0,0,2,0.15384615384615385,12
"Steven Adams","HOU",65,124,13,4,7,0.5714285714285714,0,0,0,0,5,2,6,0,0,0.25,0.5,0,0,0.4924428571428572,0.5714285714285714,0.5,4,0,0,0,0,11.258278145695364
"John Konchar","UTA",64,136,11,3,5,0.6,1,5,0.2,0.2,2,2,4,0,3,0.3333333333333333,0.5,0,0.5,0.56594,0.45,0.5,2,0,0,0,0,7.894736842105263
"DeAndre Jordan","NOP",63,127,12,5,8,0.625,0,0,0,0,2,8,2,0,0,0.8,1,0,0,0.5998375,0.625,0.6666666666666666,2,2,0.25,0,0,9.090909090909092
"Isaiah Joe","OKC",62,130,28,2,3,0.6666666666666666,6,13,0.46153846153846156,0.46153846153846156,6,2,2,18,0,0.5,0.5,1,0.8125,0.552775,0.6875,0.7368421052631579,0,0,0,0,0,13.47517730496454
"Mouhamed Gueye","ATL",62,128,35,7,12,0.5833333333333334,6,10,0.6,0.6,3,14,0,18,0,1,1,1,0.45454545454545453,0.6224431818181818,0.7272727272727273,0.7608695652173914,0,1,0.08333333333333333,0,0,17.687074829931973
"Bradley Beal","LAC",61,124,19,4,13,0.3076923076923077,3,9,0.3333333333333333,0.3333333333333333,2,6,2,9,0,0.75,0.75,1,0.4090909090909091,0.5121749999999999,0.38636363636363635,0.41304347826086957,0,1,0.07692307692307693,0,0,22.22222222222222
"Tim Hardaway Jr.","DEN",59,122,34,4,6,0.6666666666666666,7,18,0.3888888888888889,0.3888888888888889,5,8,0,21,0,1,1,1,0.75,0.5450208333333333,0.6041666666666666,0.6538461538461539,0,0,0,0,0,19.28571428571429
"Kevon Looney","NOP",58,120,9,3,11,0.2727272727272727,1,4,0.25,0.25,0,4,2,3,0,0.6666666666666666,1,1,0.26666666666666666,0.5371766666666666,0.3,0.28125,2,2,0.18181818181818182,0,0,12.142857142857144
"Kobe Brown","IND",58,119,25,7,12,0.5833333333333334,3,7,0.42857142857142855,0.42857142857142855,2,10,4,9,0,0.7142857142857143,1,1,0.3684210526315789,0.6140894736842105,0.6052631578947368,0.625,4,0,0,0,0,16.666666666666664
"Trendon Watford","PHI",57,112,37,15,19,0.7894736842105263,2,4,0.5,0.5,1,18,12,6,0,0.6,0.6428571428571429,1,0.17391304347826086,0.54995,0.782608695652174,0.8043478260869565,2,0,0,0,0,21.25984251968504
"Jamir Watkins","WAS",57,118,10,4,7,0.5714285714285714,0,5,0,0,2,2,6,0,0,0.25,0.5,0,0.4166666666666667,0.5962041666666666,0.3333333333333333,0.35714285714285715,4,0,0,0,0,10.44776119402985
"Cam Thomas","BKN",57,116,27,7,18,0.3888888888888889,2,5,0.4,0.4,7,6,8,3,3,0.42857142857142855,0.5,0.5,0.21739130434782608,0.4997304347826087,0.43478260869565216,0.5,2,0,0,0,0,22.13740458015267
"Nicolas Batum","LAC",56,116,3,0,0,0,1,9,0.1111111111111111,0.1111111111111111,0,0,0,3,0,0,0,1,1,0.5868333333333333,0.16666666666666666,0.16666666666666666,0,0,0,0,0,7.317073170731708
