Player,touches,post_touches,post_fgm,post_fga,post_ftm,post_fta,post_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_post,post_pass_pct,post_ast_pct,post_to_pct,Foul%,possessions,Touches Per Poss,post_per_poss,season_year,player
Devin Booker,4112,57,9,23,6,6,25,22,9,5,3,0.3913,0.4386,0.386,0.1579,0.0877,0.0526,4452,0.9236,0.0128,2026,Devin Booker
Devin Carter,1469,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1435,1.0237,0.0007,2026,Devin Carter
Devin Vassell,2830,2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4249,0.666,0.0005,2026,Devin Vassell
Dillon Brooks,2371,63,24,43,7,10,56,10,4,2,6,0.5581,0.8889,0.1587,0.0635,0.0317,0.0952,3500,0.6774,0.018,2026,Dillon Brooks
Dillon Jones,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.7531,0.0,2026,Dillon Jones
Domantas Sabonis,1212,42,5,16,5,6,15,16,4,7,3,0.3125,0.3571,0.381,0.0952,0.1667,0.0714,1182,1.0254,0.0355,2026,Domantas Sabonis
Dominick Barlow,1961,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,3493,0.5614,0.0006,2026,Dominick Barlow
Donovan Clingan,3230,23,7,9,4,6,19,7,4,4,3,0.7778,0.8261,0.3043,0.1739,0.1739,0.1304,4351,0.7424,0.0053,2026,Donovan Clingan
Donovan Mitchell,4842,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,4827,1.0031,0.0002,2026,Donovan Mitchell
Donte DiVincenzo,4422,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5136,0.861,0.0,2026,Donte DiVincenzo
Dorian Finney-Smith,741,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1244,0.5957,0.0,2026,Dorian Finney-Smith
Doug McDermott,570,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,906,0.6291,0.0,2026,Doug McDermott
Drake Powell,1847,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2637,0.7004,0.0,2026,Drake Powell
Draymond Green,4591,12,0,2,0,0,0,9,2,1,0,0.0,0.0,0.75,0.1667,0.0833,0.0,3766,1.2191,0.0032,2026,Draymond Green
Drew Eubanks,666,6,2,3,0,0,4,0,0,1,0,0.6667,0.6667,0.0,0.0,0.1667,0.0,1140,0.5842,0.0053,2026,Drew Eubanks
Drew Peterson,78,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.6094,0.0,2026,Drew Peterson
Drew Timme,374,16,3,10,0,0,6,5,0,1,0,0.3,0.375,0.3125,0.0,0.0625,0.0,458,0.8166,0.0349,2026,Drew Timme
Dru Smith,2247,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,2386,0.9417,0.0008,2026,Dru Smith
Duncan Robinson,2455,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4316,0.5688,0.0,2026,Duncan Robinson
Duop Reath,305,2,1,2,0,0,3,0,0,0,0,0.5,1.5,0.0,0.0,0.0,0.0,545,0.5596,0.0037,2026,Duop Reath
Dwight Powell,1108,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1911,0.5798,0.0005,2026,Dwight Powell
Dylan Cardwell,1057,10,0,1,1,2,1,7,2,0,1,0.0,0.1,0.7,0.2,0.0,0.1,1850,0.5714,0.0054,2026,Dylan Cardwell
Dylan Harper,3274,1,1,1,0,0,3,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,3211,1.0196,0.0003,2026,Dylan Harper
Dyson Daniels,4909,2,0,0,0,0,0,2,1,0,0,0.0,0.0,1.0,0.5,0.0,0.0,5304,0.9255,0.0004,2026,Dyson Daniels
E.J. Liddell,493,7,3,6,0,0,6,1,0,0,0,0.5,0.8571,0.1429,0.0,0.0,0.0,706,0.6983,0.0099,2026,E.J. Liddell
Egor DÃ«min,2810,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,2650,1.0604,0.0004,2026,Egor Dmin
Elijah Harkless,914,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1159,0.7886,0.0,2026,Elijah Harkless
Emanuel Miller,44,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.6377,0.0,2026,Emanuel Miller
Enrique Freeman,42,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.4941,0.0,2026,Enrique Freeman
Eric Gordon,103,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.6867,0.0,2026,Eric Gordon
Ethan Thompson,976,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1352,0.7219,0.0,2026,Ethan Thompson
Evan Mobley,4140,97,18,39,7,14,44,34,13,10,8,0.4615,0.4536,0.3505,0.134,0.1031,0.0825,4199,0.9859,0.0231,2026,Evan Mobley
Franz Wagner,1838,20,5,8,4,4,15,6,1,2,3,0.625,0.75,0.3,0.05,0.1,0.15,2169,0.8474,0.0092,2026,Franz Wagner
Gabe Vincent,1204,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1822,0.6608,0.0,2026,Gabe Vincent
Garrett Temple,149,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,146,1.0205,0.0068,2026,Garrett Temple
Garrison Mathews,255,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,413,0.6174,0.0,2026,Garrison Mathews
Gary Harris,700,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.5469,0.0,2026,Gary Harris
Gary Payton II,2064,13,0,0,0,0,0,11,3,1,0,0.0,0.0,0.8462,0.2308,0.0769,0.0,2278,0.9061,0.0057,2026,Gary Payton II
Gary Trent Jr.,1291,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2721,0.4745,0.0,2026,Gary Trent Jr.
GG Jackson,2107,6,0,2,1,2,1,0,0,2,1,0.0,0.1667,0.0,0.0,0.3333,0.1667,2457,0.8575,0.0024,2026,GG Jackson
Giannis Antetokounmpo,2553,186,42,71,8,12,95,77,18,16,6,0.5915,0.5108,0.414,0.0968,0.086,0.0323,2123,1.2025,0.0876,2026,Giannis Antetokounmpo
Goga Bitadze,1402,15,5,5,6,8,16,5,2,0,4,1.0,1.0667,0.3333,0.1333,0.0,0.2667,2006,0.6989,0.0075,2026,Goga Bitadze
Gradey Dick,1228,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2231,0.5504,0.0,2026,Gradey Dick
Grant Nelson,59,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,69,0.8551,0.0145,2026,Grant Nelson
Grant Williams,977,12,1,4,3,6,5,3,0,1,3,0.25,0.4167,0.25,0.0,0.0833,0.25,1441,0.678,0.0083,2026,Grant Williams
Grayson Allen,2751,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2973,0.9253,0.0,2026,Grayson Allen
Guerschon Yabusele,1415,21,4,9,3,4,11,7,3,1,2,0.4444,0.5238,0.3333,0.1429,0.0476,0.0952,2110,0.6706,0.01,2026,Guerschon Yabusele
Gui Santos,2554,23,2,6,2,2,6,11,2,4,1,0.3333,0.2609,0.4783,0.087,0.1739,0.0435,2764,0.924,0.0083,2026,Gui Santos
Harrison Barnes,2427,11,2,4,2,2,7,3,0,3,1,0.5,0.6364,0.2727,0.0,0.2727,0.0909,4119,0.5892,0.0027,2026,Harrison Barnes
Harrison Ingram,33,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.6,0.0,2026,Harrison Ingram
Hayden Gray,26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.5,0.0,2026,Hayden Gray
Haywood Highsmith,101,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,175,0.5771,0.0,2026,Haywood Highsmith
Herbert Jones,2499,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3285,0.7607,0.0003,2026,Herbert Jones
Hugo GonzÃ¡lez,1274,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2123,0.6001,0.0,2026,Hugo Gonzlez
Hunter Dickinson,60,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,96,0.625,0.0104,2026,Hunter Dickinson
Hunter Sallis,62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,1.1273,0.0,2026,Hunter Sallis
Hunter Tyson,212,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,318,0.6667,0.0,2026,Hunter Tyson
Immanuel Quickley,5043,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4545,1.1096,0.0,2026,Immanuel Quickley
Isaac Jones,27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.3913,0.0,2026,Isaac Jones
Isaac Okoro,1851,14,1,2,2,2,4,9,4,1,1,0.5,0.2857,0.6429,0.2857,0.0714,0.0714,3568,0.5188,0.0039,2026,Isaac Okoro
Isaiah Collier,3981,4,1,1,0,0,2,2,0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,3183,1.2507,0.0013,2026,Isaiah Collier
Isaiah Crawford,83,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,181,0.4586,0.0055,2026,Isaiah Crawford
Isaiah Hartenstein,2149,14,3,5,0,0,6,6,4,2,0,0.6,0.4286,0.4286,0.2857,0.1429,0.0,2336,0.9199,0.006,2026,Isaiah Hartenstein
Isaiah Jackson,1156,20,8,10,8,10,24,1,0,3,5,0.8,1.2,0.05,0.0,0.15,0.25,1845,0.6266,0.0108,2026,Isaiah Jackson
Isaiah Joe,1968,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3108,0.6332,0.0,2026,Isaiah Joe
Isaiah Livers,379,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,713,0.5316,0.0,2026,Isaiah Livers
Isaiah Stevens,94,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84,1.119,0.0,2026,Isaiah Stevens
Isaiah Stewart,1458,58,16,30,5,8,40,8,2,8,5,0.5333,0.6897,0.1379,0.0345,0.1379,0.0862,2627,0.555,0.0221,2026,Isaiah Stewart
Ivica Zubac,2304,232,57,103,10,20,127,87,20,14,11,0.5534,0.5474,0.375,0.0862,0.0603,0.0474,2898,0.795,0.0801,2026,Ivica Zubac
Ja Morant,1431,7,1,3,2,2,4,3,0,0,1,0.3333,0.5714,0.4286,0.0,0.0,0.1429,1228,1.1653,0.0057,2026,Ja Morant
Ja'Kobe Walter,1784,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3001,0.5945,0.0,2026,Ja'Kobe Walter
Jabari Smith Jr.,3999,40,11,21,2,2,24,12,2,4,1,0.5238,0.6,0.3,0.05,0.1,0.025,5377,0.7437,0.0074,2026,Jabari Smith Jr.
Jabari Walker,906,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,1580,0.5734,0.0013,2026,Jabari Walker
Jacob Toppin,35,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,1.0938,0.0,2026,Jacob Toppin
Jaden Hardy,1313,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1887,0.6958,0.0,2026,Jaden Hardy
Jaden Ivey,1097,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1355,0.8096,0.0,2026,Jaden Ivey
Jaden McDaniels,3369,8,2,4,0,0,4,3,1,0,0,0.5,0.5,0.375,0.125,0.0,0.0,4753,0.7088,0.0017,2026,Jaden McDaniels
Jae'Sean Tate,524,11,3,6,0,0,6,4,0,0,0,0.5,0.5455,0.3636,0.0,0.0,0.0,783,0.6692,0.014,2026,Jae'Sean Tate
Jahmai Mashack,1112,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1424,0.7809,0.0,2026,Jahmai Mashack
Jahmir Young,132,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,1.0312,0.0,2026,Jahmir Young
Jahmyl Telfort,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.4688,0.0,2026,Jahmyl Telfort
Jaime Jaquez Jr.,4900,41,11,18,0,0,22,20,1,2,0,0.6111,0.5366,0.4878,0.0244,0.0488,0.0,4524,1.0831,0.0091,2026,Jaime Jaquez Jr.
Jake LaRavia,3034,4,1,3,0,0,2,1,1,0,0,0.3333,0.5,0.25,0.25,0.0,0.0,4217,0.7195,0.0009,2026,Jake LaRavia
Jakob Poeltl,1702,19,4,5,2,4,10,10,2,2,2,0.8,0.5263,0.5263,0.1053,0.1053,0.1053,2348,0.7249,0.0081,2026,Jakob Poeltl
Jalen Brunson,6755,46,13,28,5,6,31,12,1,2,3,0.4643,0.6739,0.2609,0.0217,0.0435,0.0652,5243,1.2884,0.0088,2026,Jalen Brunson
Jalen Duren,3470,82,23,51,26,32,73,11,0,3,16,0.451,0.8902,0.1341,0.0,0.0366,0.1951,4075,0.8515,0.0201,2026,Jalen Duren
Jalen Green,1532,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1691,0.906,0.0006,2026,Jalen Green
Jalen Johnson,6423,69,20,32,9,10,49,21,7,6,5,0.625,0.7101,0.3043,0.1014,0.087,0.0725,5390,1.1917,0.0128,2026,Jalen Johnson
Jalen Pickett,1457,5,0,2,0,0,0,1,0,2,0,0.0,0.0,0.2,0.0,0.4,0.0,1615,0.9022,0.0031,2026,Jalen Pickett
Jalen Slawson,568,4,1,2,0,0,2,2,0,0,0,0.5,0.5,0.5,0.0,0.0,0.0,641,0.8861,0.0062,2026,Jalen Slawson
Jalen Smith,1827,10,4,6,0,0,8,2,0,2,0,0.6667,0.8,0.2,0.0,0.2,0.0,2305,0.7926,0.0043,2026,Jalen Smith
Jalen Suggs,3700,5,1,1,0,0,2,3,0,0,0,1.0,0.4,0.6,0.0,0.0,0.0,3360,1.1012,0.0015,2026,Jalen Suggs
Jalen Williams,1807,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1957,0.9234,0.0,2026,Jalen Williams
Jalen Wilson,1220,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,1714,0.7118,0.0012,2026,Jalen Wilson
Jamal Cain,571,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,993,0.575,0.0,2026,Jamal Cain
Jamal Murray,5720,47,17,32,5,6,39,11,1,1,3,0.5312,0.8298,0.234,0.0213,0.0213,0.0638,5446,1.0503,0.0086,2026,Jamal Murray
Jamal Shead,4029,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3781,1.0656,0.0,2026,Jamal Shead
Jamaree Bouyea,1282,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1266,1.0126,0.0,2026,Jamaree Bouyea
James Harden,5366,44,10,20,8,8,28,19,9,1,4,0.5,0.6364,0.4318,0.2045,0.0227,0.0909,4929,1.0887,0.0089,2026,James Harden
James Wiseman,61,2,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,124,0.4919,0.0161,2026,James Wiseman
Jamir Watkins,1297,2,0,1,0,0,0,1,1,0,0,0.0,0.0,0.5,0.5,0.0,0.0,2163,0.5996,0.0009,2026,Jamir Watkins
Jamison Battle,575,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1062,0.5414,0.0009,2026,Jamison Battle
Jarace Walker,3215,14,1,4,1,2,3,7,1,2,1,0.25,0.2143,0.5,0.0714,0.1429,0.0714,4139,0.7768,0.0034,2026,Jarace Walker
Jared McCain,1930,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2416,0.7988,0.0,2026,Jared McCain
Jaren Jackson Jr.,2340,152,43,81,10,14,98,47,8,9,7,0.5309,0.6447,0.3092,0.0526,0.0592,0.0461,3050,0.7672,0.0498,2026,Jaren Jackson Jr.
Jarred Vanderbilt,1450,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2296,0.6315,0.0,2026,Jarred Vanderbilt
Jarrett Allen,2091,55,19,28,12,18,50,5,3,6,9,0.6786,0.9091,0.0909,0.0545,0.1091,0.1636,3116,0.6711,0.0177,2026,Jarrett Allen
Jase Richardson,919,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1201,0.7652,0.0,2026,Jase Richardson
Javon Small,1615,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1754,0.9208,0.0,2026,Javon Small
Javonte Cooke,175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,195,0.8974,0.0,2026,Javonte Cooke
Javonte Green,1978,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2983,0.6631,0.0,2026,Javonte Green
Jaxson Hayes,1345,10,0,0,0,0,0,7,1,0,0,0.0,0.0,0.7,0.1,0.0,0.0,2467,0.5452,0.0041,2026,Jaxson Hayes
Jay Huff,2386,47,14,22,5,6,34,10,0,5,3,0.6364,0.7234,0.2128,0.0,0.1064,0.0638,3595,0.6637,0.0131,2026,Jay Huff
Jaylen Brown,4859,85,19,36,10,10,48,31,10,4,5,0.5278,0.5647,0.3647,0.1176,0.0471,0.0588,4905,0.9906,0.0173,2026,Jaylen Brown
Jaylen Clark,813,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1821,0.4465,0.0,2026,Jaylen Clark
Jaylen Wells,2167,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,3775,0.574,0.0003,2026,Jaylen Wells
Jaylin Williams,2681,5,0,0,1,2,1,3,1,0,1,0.0,0.2,0.6,0.2,0.0,0.2,2659,1.0083,0.0019,2026,Jaylin Williams
Jaylon Tyson,2652,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3638,0.729,0.0003,2026,Jaylon Tyson
Jayson Kent,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.4524,0.0,2026,Jayson Kent
Jayson Tatum,1220,8,2,5,0,0,4,2,2,1,0,0.4,0.5,0.25,0.25,0.125,0.0,1047,1.1652,0.0076,2026,Jayson Tatum
JD Davison,428,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,427,1.0023,0.0,2026,JD Davison
Jeenathan Williams,261,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,477,0.5472,0.0,2026,Jeenathan Williams
Jeff Green,194,11,3,6,0,0,6,5,2,0,0,0.5,0.5455,0.4545,0.1818,0.0,0.0,345,0.5623,0.0319,2026,Jeff Green
Jerami Grant,2637,33,8,9,0,0,17,19,5,5,0,0.8889,0.5152,0.5758,0.1515,0.1515,0.0,3599,0.7327,0.0092,2026,Jerami Grant
Jeremiah Fears,4615,4,0,2,0,0,0,2,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,4439,1.0396,0.0009,2026,Jeremiah Fears
Jeremiah Robinson-Earl,477,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,756,0.631,0.0,2026,Jeremiah Robinson-Earl
Jeremy Sochan,685,6,2,3,0,0,5,3,0,0,0,0.6667,0.8333,0.5,0.0,0.0,0.0,950,0.7211,0.0063,2026,Jeremy Sochan
Jericho Sims,1960,3,0,0,0,0,0,2,1,1,0,0.0,0.0,0.6667,0.3333,0.3333,0.0,2564,0.7644,0.0012,2026,Jericho Sims
Jett Howard,755,2,0,0,2,2,2,1,0,0,1,0.0,1.0,0.5,0.0,0.0,0.5,1420,0.5317,0.0014,2026,Jett Howard
Jevon Carter,1661,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1787,0.9295,0.0,2026,Jevon Carter
Jimmy Butler,2441,67,11,19,6,6,29,42,11,2,3,0.5789,0.4328,0.6269,0.1642,0.0299,0.0448,2439,1.0008,0.0275,2026,Jimmy Butler
Jimmy Butler III,2441,67,11,19,6,6,29,42,11,2,3,0.5789,0.4328,0.6269,0.1642,0.0299,0.0448,2439,1.0008,0.0275,2026,Jimmy Butler III
Joan Beringer,386,8,2,3,0,0,4,3,0,1,0,0.6667,0.5,0.375,0.0,0.125,0.0,667,0.5787,0.012,2026,Joan Beringer
Jock Landale,2182,122,32,62,12,18,76,31,8,8,9,0.5161,0.623,0.2541,0.0656,0.0656,0.0738,3116,0.7003,0.0392,2026,Jock Landale
Joe Ingles,284,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.828,0.0,2026,Joe Ingles
Joel Embiid,2638,198,49,90,33,40,134,69,12,12,20,0.5444,0.6768,0.3485,0.0606,0.0606,0.101,2481,1.0633,0.0798,2026,Joel Embiid
John Collins,2490,80,35,49,3,6,75,21,7,5,3,0.7143,0.9375,0.2625,0.0875,0.0625,0.0375,3701,0.6728,0.0216,2026,John Collins
John Konchar,1653,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2388,0.6922,0.0,2026,John Konchar
John Poulakidas,270,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,520,0.5192,0.0,2026,John Poulakidas
John Tonje,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.5747,0.0,2026,John Tonje
Johni Broome,99,4,0,0,2,2,2,3,1,0,1,0.0,0.5,0.75,0.25,0.0,0.25,113,0.8761,0.0354,2026,Johni Broome
Johnny Furphy,958,2,0,0,0,2,0,1,1,0,1,0.0,0.0,0.5,0.5,0.0,0.5,1326,0.7225,0.0015,2026,Johnny Furphy
Johnny Juzang,121,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,193,0.6269,0.0,2026,Johnny Juzang
Jonas Valanciunas,1764,144,44,74,30,38,119,17,2,17,19,0.5946,0.8264,0.1181,0.0139,0.1181,0.1319,1721,1.025,0.0837,2026,Jonas Valanciunas
Jonas ValanÄiÅ«nas,1764,144,44,74,30,38,119,17,2,17,19,0.5946,0.8264,0.1181,0.0139,0.1181,0.1319,1721,1.025,0.0837,2026,Jonas Valaninas
Jonathan Isaac,613,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1061,0.5778,0.0,2026,Jonathan Isaac
Jonathan Kuminga,1498,29,6,10,8,12,20,10,1,1,6,0.6,0.6897,0.3448,0.0345,0.0345,0.2069,1729,0.8664,0.0168,2026,Jonathan Kuminga
Jonathan Mogbo,348,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,512,0.6797,0.002,2026,Jonathan Mogbo
