iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
123,Tyler Herro,guard,2024,17906.0,-0.36,-0.304,0.528,0.506,0.9,-1.23,0.51,-1.39,0.67,-0.95,0.34,-1.3,0.69,-1.24,0.63,-1.74,1.13,-1.05,0.45,2.07,1.98,2.87,1.0,0.274,0.0,0.0,0.0,0.0,6,1.665,4.996,0.0,0.007,0.13,90,14,170,A,C,-1.056
124,Thaddeus Young,guard,2024,10690.0,-0.69,-0.55,0.451,0.425,0.842,-1.43,0.05,-1.57,0.19,-1.09,-0.0,-1.38,0.28,-1.34,0.25,-1.77,0.67,-1.3,0.2,1.77,1.67,2.43,1.0,0.098,0.0,0.0,0.0,0.0,16,1.1,3.301,0.0,0.001,0.046,96,30,170,A,B,-1.092
125,Keldon Johnson,guard,2024,18006.0,-0.65,-0.565,0.37,0.357,0.9,-1.26,-0.04,-1.38,0.08,-1.02,-0.11,-1.26,0.13,-1.22,0.09,-1.57,0.44,-1.32,0.18,1.45,1.4,2.02,1.0,0.057,0.0,0.0,0.0,0.0,7,1.171,3.514,0.009,0.04,0.167,97,13,177,A,B,-1.095
126,Richaun Holmes,guard,2024,10135.0,-0.85,-0.677,0.363,0.345,0.835,-1.45,-0.25,-1.56,-0.14,-1.12,-0.23,-1.35,-0.0,-1.32,-0.03,-1.66,0.3,-1.43,0.07,1.42,1.35,1.96,1.0,0.025,0.0,0.0,0.0,0.0,8,0.862,2.586,0.017,0.06,0.162,97,10,177,A,A,-1.108
127,Nikola Vucevic,guard,2024,24264.0,-0.5,-0.447,0.424,0.411,0.924,-1.2,0.2,-1.33,0.33,-0.97,0.08,-1.25,0.36,-1.2,0.31,-1.61,0.71,-1.2,0.3,1.66,1.61,2.32,1.0,0.139,0.0,0.0,0.0,0.0,13,1.558,4.675,0.023,0.09,0.152,94,6,177,A,C,-1.12
128,Zach Lavine,guard,2024,20410.0,-0.12,-0.091,0.692,0.666,0.911,-1.26,1.02,-1.48,1.24,-0.94,0.76,-1.4,1.21,-1.32,1.14,-1.97,1.79,-0.84,0.66,2.71,2.61,3.76,0.998,0.445,0.008,0.0,0.0,0.0,12,2.332,6.995,0.0,0.005,0.11,90,14,170,B,D,-1.124
129,Harrison Barnes,guard,2024,24905.0,-0.77,-0.698,0.3,0.29,0.926,-1.26,-0.28,-1.36,-0.18,-1.07,-0.33,-1.27,-0.13,-1.21,-0.19,-1.48,0.08,-1.45,0.05,1.18,1.14,1.56,1.0,0.008,0.0,0.0,0.0,0.0,14,1.017,3.051,0.023,0.079,0.166,90,9,177,A,B,-1.148
130,D'Angelo Russell,guard,2024,19644.0,-0.42,-0.363,0.537,0.517,0.908,-1.3,0.46,-1.47,0.63,-1.02,0.3,-1.38,0.65,-1.32,0.59,-1.82,1.1,-1.11,0.39,2.11,2.03,2.92,0.999,0.241,0.0,0.0,0.0,0.0,11,1.776,5.327,0.0,0.001,0.042,96,30,170,B,C,-1.154
131,Andrew Wiggins,guard,2024,19923.0,-0.91,-0.809,0.3,0.283,0.909,-1.4,-0.42,-1.5,-0.32,-1.17,-0.45,-1.36,-0.25,-1.29,-0.32,-1.55,-0.07,-1.56,-0.06,1.18,1.11,1.48,1.0,0.002,0.0,0.0,0.0,0.0,12,0.677,2.5,0.0,0.0,0.036,79,41,127,A,A,-1.154
132,Jae Crowder,guard,2024,14174.0,-0.71,-0.597,0.47,0.448,0.876,-1.48,0.06,-1.63,0.21,-1.17,-0.02,-1.47,0.28,-1.43,0.23,-1.87,0.68,-1.35,0.15,1.84,1.75,2.55,0.999,0.091,0.0,0.0,0.0,0.0,12,1.32,3.959,0.069,0.069,0.089,61,5,135,A,B,-1.217
133,Paolo Banchero,guard,2024,10539.0,-1.28,-1.044,0.344,0.301,0.84,-1.85,-0.71,-1.96,-0.6,-1.43,-0.66,-1.63,-0.45,-1.63,-0.46,-1.94,-0.15,-1.79,-0.29,1.35,1.18,1.79,0.999,0.0,0.0,0.0,0.0,0.0,4,0.138,2.5,0.021,0.073,0.163,90,9,177,A,A,-1.236
134,Eric Gordon,guard,2024,15097.0,-0.72,-0.612,0.466,0.445,0.883,-1.49,0.05,-1.63,0.19,-1.18,-0.04,-1.48,0.26,-1.44,0.21,-1.87,0.65,-1.36,0.14,1.83,1.74,2.52,0.999,0.084,0.0,0.0,0.0,0.0,16,1.349,4.048,0.0,0.003,0.08,92,18,170,A,B,-1.239
135,Bobby Portis,wing,2024,17565.0,-0.91,-0.807,0.343,0.331,0.898,-1.47,-0.35,-1.58,-0.24,-1.23,-0.38,-1.46,-0.16,-1.42,-0.2,-1.74,0.13,-1.56,-0.06,1.35,1.3,1.87,1.0,0.007,0.0,0.0,0.0,0.0,11,1.072,3.217,0.06,0.125,0.191,91,2,174,A,B,-1.294
136,Quentin Grimes,guard,2024,7638.0,-1.22,-0.925,0.405,0.378,0.792,-1.89,-0.55,-2.01,-0.43,-1.41,-0.44,-1.67,-0.18,-1.64,-0.22,-2.01,0.16,-1.68,-0.18,1.59,1.48,2.17,0.998,0.007,0.0,0.0,0.0,0.0,5,0.825,2.5,0.023,0.083,0.168,89,9,177,A,A,-1.362
137,Kelly Olynyk,guard,2024,15789.0,-1.19,-1.034,0.3,0.288,0.888,-1.68,-0.7,-1.78,-0.6,-1.4,-0.66,-1.6,-0.47,-1.55,-0.52,-1.82,-0.24,-1.78,-0.28,1.18,1.13,1.58,1.0,0.0,0.0,0.0,0.0,0.0,12,0.831,2.5,0.112,0.195,0.289,91,1,178,A,A,-1.427
138,Russell Westbrook,guard,2024,22529.0,-0.48,-0.425,0.664,0.641,0.918,-1.57,0.61,-1.78,0.82,-1.25,0.4,-1.68,0.83,-1.61,0.76,-2.23,1.38,-1.17,0.33,2.6,2.51,3.62,0.993,0.254,0.001,0.0,0.0,0.0,18,2.349,7.048,0.075,0.176,0.27,86,4,174,B,D,-1.45
139,Moritz Wagner,guard,2024,10371.0,-1.08,-0.873,0.515,0.483,0.838,-1.93,-0.23,-2.09,-0.07,-1.49,-0.25,-1.82,0.07,-1.78,0.03,-2.26,0.51,-1.62,-0.12,2.02,1.89,2.77,0.99,0.035,0.0,0.0,0.0,0.0,6,1.236,3.709,0.0,0.0,0.087,116,17,168,A,B,-1.485
140,Patrick Williams,guard,2024,11844.0,-1.49,-1.246,0.325,0.298,0.856,-2.02,-0.96,-2.13,-0.85,-1.63,-0.86,-1.83,-0.66,-1.81,-0.68,-2.11,-0.38,-2.0,-0.5,1.27,1.17,1.73,0.994,0.0,0.0,0.0,0.0,0.0,6,0.538,2.5,0.0,0.0,0.0,114,106,114,A,A,-1.556
141,Georges Niang,guard,2024,14259.0,-1.54,-1.326,0.3,0.275,0.877,-2.03,-1.05,-2.13,-0.95,-1.68,-0.97,-1.87,-0.79,-1.84,-0.81,-2.12,-0.53,-2.08,-0.58,1.18,1.08,1.58,0.993,0.0,0.0,0.0,0.0,0.0,5,0.422,2.5,0.0,0.0,0.0,60,27,154,A,A+,-1.59
142,Isaiah Livers,guard,2024,4095.0,-1.82,-1.157,0.552,0.468,0.672,-2.73,-0.91,-2.9,-0.74,-1.76,-0.56,-2.07,-0.24,-2.09,-0.23,-2.58,0.26,-1.91,-0.41,2.17,1.84,2.84,0.964,0.007,0.0,0.0,0.0,0.0,3,0.711,2.5,0.119,0.187,0.278,93,1,181,A,B,-1.604
143,Jalen Johnson,guard,2024,6293.0,-1.73,-1.265,0.446,0.388,0.759,-2.46,-1.0,-2.6,-0.86,-1.76,-0.77,-2.02,-0.5,-2.02,-0.51,-2.42,-0.11,-2.01,-0.51,1.75,1.52,2.32,0.971,0.001,0.0,0.0,0.0,0.0,3,0.609,2.5,0.017,0.059,0.162,97,10,177,A,B,-1.642
144,Josh Giddey,guard,2024,12414.0,-1.74,-1.471,0.317,0.284,0.861,-2.26,-1.22,-2.36,-1.12,-1.83,-1.11,-2.03,-0.91,-2.02,-0.92,-2.31,-0.64,-2.22,-0.72,1.24,1.11,1.67,0.969,0.0,0.0,0.0,0.0,0.0,5,0.236,2.5,0.0,0.004,0.089,92,18,170,A,A+,-1.684
145,Jerami Grant,guard,2024,18578.0,-1.54,-1.371,0.3,0.283,0.903,-2.03,-1.05,-2.13,-0.95,-1.73,-1.01,-1.92,-0.82,-1.86,-0.88,-2.12,-0.62,-2.12,-0.62,1.18,1.11,1.5,0.987,0.0,0.0,0.0,0.0,0.0,12,0.664,2.5,0.025,0.088,0.167,89,6,177,A,A,-1.712
146,Devin Vassell,guard,2024,13272.0,-1.46,-1.243,0.382,0.365,0.869,-2.09,-0.83,-2.21,-0.71,-1.71,-0.78,-1.96,-0.53,-1.92,-0.57,-2.28,-0.21,-1.99,-0.49,1.5,1.43,2.07,0.981,0.0,0.0,0.0,0.0,0.0,6,1.038,3.114,0.029,0.032,0.203,74,22,150,A,B,-1.737
147,Tre Mann,guard,2024,7054.0,-2.02,-1.53,0.421,0.347,0.779,-2.71,-1.33,-2.85,-1.19,-1.97,-1.08,-2.21,-0.85,-2.23,-0.83,-2.6,-0.46,-2.28,-0.78,1.65,1.36,2.14,0.912,0.0,0.0,0.0,0.0,0.0,4,0.117,2.5,0.001,0.001,0.002,104,27,134,A,A,-1.739
148,Ivica Zubac,guard,2024,17440.0,-1.55,-1.37,0.309,0.298,0.897,-2.06,-1.04,-2.15,-0.95,-1.75,-0.99,-1.95,-0.79,-1.92,-0.82,-2.21,-0.53,-2.12,-0.62,1.21,1.17,1.68,0.983,0.0,0.0,0.0,0.0,0.0,9,0.961,2.882,0.0,0.0,0.0,43,27,154,A,A,-1.807
149,Saddiq Bey,guard,2024,17916.0,-1.83,-1.626,0.3,0.278,0.9,-2.32,-1.34,-2.42,-1.24,-1.98,-1.27,-2.17,-1.08,-2.12,-1.13,-2.38,-0.88,-2.38,-0.88,1.18,1.09,1.5,0.911,0.0,0.0,0.0,0.0,0.0,5,0.412,2.5,0.001,0.015,0.19,87,13,175,A,A+,-1.889
150,Andrew Nembhard,guard,2024,7778.0,-1.95,-1.51,0.401,0.375,0.795,-2.61,-1.29,-2.74,-1.16,-1.99,-1.03,-2.25,-0.77,-2.21,-0.81,-2.59,-0.43,-2.26,-0.76,1.57,1.47,2.15,0.904,0.0,0.0,0.0,0.0,0.0,4,0.828,2.5,0.019,0.019,0.079,120,11,173,A,A,-1.946
151,Grayson Allen,guard,2024,16951.0,-1.7,-1.499,0.376,0.361,0.894,-2.32,-1.08,-2.44,-0.96,-1.96,-1.04,-2.21,-0.79,-2.17,-0.83,-2.52,-0.48,-2.25,-0.75,1.47,1.42,2.04,0.917,0.0,0.0,0.0,0.0,0.0,7,1.153,3.458,0.062,0.073,0.199,78,2,164,A,B,-2.025
152,Grant Williams,guard,2024,16518.0,-1.92,-1.691,0.3,0.282,0.892,-2.41,-1.43,-2.51,-1.33,-2.05,-1.33,-2.24,-1.14,-2.2,-1.19,-2.46,-0.92,-2.44,-0.94,1.18,1.11,1.55,0.863,0.0,0.0,0.0,0.0,0.0,7,0.665,2.5,0.02,0.065,0.162,96,10,177,A,A,-2.032
153,Tyus Jones,guard,2024,16342.0,-1.74,-1.528,0.437,0.419,0.891,-2.46,-1.02,-2.6,-0.88,-2.07,-0.99,-2.35,-0.71,-2.3,-0.75,-2.72,-0.34,-2.28,-0.78,1.71,1.64,2.37,0.87,0.0,0.0,0.0,0.0,0.0,10,1.317,3.952,0.051,0.051,0.111,85,5,168,A,B,-2.133
154,Jordan Hawkins,guard,2024,2329.0,-2.76,-1.392,1.099,0.858,0.538,-4.57,-0.95,-4.91,-0.61,-2.49,-0.29,-3.07,0.29,-3.18,0.39,-4.13,1.34,-2.14,-0.64,4.31,3.36,5.47,0.761,0.052,0.0,0.0,0.0,0.0,2,1.25,3.75,0.011,0.044,0.158,97,13,177,B,C,-2.196
155,Jaden Ivey,guard,2024,9238.0,-2.28,-1.839,0.368,0.339,0.822,-2.89,-1.67,-3.0,-1.56,-2.27,-1.4,-2.5,-1.17,-2.48,-1.2,-2.82,-0.86,-2.59,-1.09,1.44,1.33,1.96,0.683,0.0,0.0,0.0,0.0,0.0,4,0.704,2.5,0.063,0.121,0.187,91,2,174,A,A,-2.22
156,Evan Fournier,guard,2024,13454.0,-2.05,-1.759,0.378,0.361,0.871,-2.67,-1.43,-2.79,-1.31,-2.22,-1.3,-2.47,-1.05,-2.43,-1.09,-2.78,-0.73,-2.51,-1.01,1.48,1.41,2.05,0.748,0.0,0.0,0.0,0.0,0.0,11,1.033,3.099,0.004,0.004,0.006,104,27,135,A,B,-2.249
157,Anfernee Simons,guard,2024,15990.0,-1.87,-1.64,0.454,0.434,0.889,-2.62,-1.12,-2.76,-0.98,-2.2,-1.08,-2.49,-0.79,-2.44,-0.83,-2.87,-0.41,-2.39,-0.89,1.78,1.7,2.46,0.797,0.0,0.0,0.0,0.0,0.0,7,1.352,4.057,0.0,0.0,0.094,116,17,168,A,B,-2.263
158,Pat Connaughton,guard,2024,15802.0,-2.32,-2.037,0.3,0.285,0.888,-2.81,-1.83,-2.91,-1.73,-2.4,-1.67,-2.6,-1.48,-2.55,-1.52,-2.82,-1.25,-2.79,-1.29,1.18,1.12,1.57,0.449,0.0,0.0,0.0,0.0,0.0,7,0.755,2.5,0.009,0.01,0.218,71,25,133,A,A,-2.406
159,Precious Achiuwa,guard,2024,10168.0,-2.57,-2.115,0.351,0.314,0.836,-3.15,-1.99,-3.26,-1.88,-2.52,-1.71,-2.73,-1.5,-2.72,-1.51,-3.04,-1.19,-2.86,-1.36,1.37,1.23,1.85,0.358,0.0,0.0,0.0,0.0,0.0,5,0.479,2.5,0.1,0.193,0.287,78,3,174,A,A+,-2.416
160,Bismack Biyombo,guard,2024,9017.0,-2.48,-1.993,0.398,0.375,0.818,-3.13,-1.83,-3.26,-1.7,-2.47,-1.51,-2.73,-1.26,-2.69,-1.29,-3.06,-0.92,-2.74,-1.24,1.56,1.47,2.14,0.507,0.0,0.0,0.0,0.0,0.0,10,0.89,2.671,0.01,0.044,0.163,97,13,177,A,A,-2.448
161,Josh Richardson,guard,2024,15417.0,-2.35,-2.057,0.318,0.306,0.885,-2.87,-1.83,-2.97,-1.73,-2.45,-1.66,-2.66,-1.46,-2.62,-1.49,-2.92,-1.19,-2.81,-1.31,1.24,1.2,1.73,0.426,0.0,0.0,0.0,0.0,0.0,9,0.929,2.788,0.024,0.093,0.16,93,6,177,A,A,-2.489
162,Ayo Dosunmu,guard,2024,12867.0,-2.63,-2.249,0.312,0.282,0.865,-3.14,-2.12,-3.24,-2.02,-2.61,-1.89,-2.8,-1.7,-2.79,-1.71,-3.07,-1.43,-3.0,-1.5,1.22,1.1,1.65,0.188,0.0,0.0,0.0,0.0,0.0,5,0.333,2.5,0.0,0.0,0.0,32,27,154,A,A+,-2.49
163,Cole Anthony,guard,2024,13396.0,-2.46,-2.114,0.337,0.323,0.87,-3.01,-1.91,-3.12,-1.8,-2.53,-1.7,-2.75,-1.48,-2.71,-1.52,-3.03,-1.2,-2.86,-1.36,1.32,1.27,1.83,0.362,0.0,0.0,0.0,0.0,0.0,6,0.919,2.757,0.03,0.08,0.142,105,6,178,A,A,-2.551
164,Terry Rozier,guard,2024,22661.0,-2.47,-2.253,0.3,0.284,0.919,-2.96,-1.98,-3.06,-1.88,-2.62,-1.89,-2.81,-1.7,-2.73,-1.78,-2.98,-1.53,-3.0,-1.5,1.18,1.11,1.44,0.186,0.0,0.0,0.0,0.0,0.0,9,0.664,2.5,0.006,0.032,0.171,96,13,176,A,A,-2.594
165,Jalen Green,guard,2024,15011.0,-2.77,-2.421,0.3,0.284,0.882,-3.26,-2.28,-3.36,-2.18,-2.79,-2.06,-2.98,-1.86,-2.94,-1.9,-3.21,-1.63,-3.17,-1.67,1.18,1.11,1.59,0.069,0.0,0.0,0.0,0.0,0.0,5,0.73,2.5,0.001,0.012,0.178,87,13,171,A,A,-2.782
166,Bennedict Mathurin,guard,2024,7833.0,-3.02,-2.365,0.399,0.37,0.797,-3.68,-2.36,-3.8,-2.24,-2.84,-1.89,-3.09,-1.64,-3.06,-1.67,-3.43,-1.3,-3.12,-1.62,1.57,1.45,2.14,0.162,0.0,0.0,0.0,0.0,0.0,4,0.786,2.5,0.037,0.085,0.153,105,6,178,A,A,-2.786
167,Keyonte George,guard,2024,4116.0,-3.73,-2.445,0.551,0.43,0.673,-4.64,-2.82,-4.81,-2.65,-3.0,-1.89,-3.29,-1.6,-3.34,-1.55,-3.81,-1.08,-3.19,-1.69,2.16,1.68,2.74,0.15,0.0,0.0,0.0,0.0,0.0,3,0.435,2.5,0.002,0.018,0.192,87,13,175,A,B,-2.79
168,Klay Thompson,guard,2024,11392.0,-2.13,-1.782,0.836,0.781,0.851,-3.5,-0.76,-3.77,-0.49,-2.78,-0.78,-3.31,-0.25,-3.25,-0.32,-4.02,0.46,-2.53,-1.03,3.28,3.06,4.48,0.61,0.011,0.0,0.0,0.0,0.0,13,2.102,6.307,0.0,0.0,0.096,116,17,167,B,D,-2.803
169,Rj Barrett,guard,2024,21884.0,-2.7,-2.457,0.3,0.286,0.916,-3.19,-2.21,-3.29,-2.11,-2.82,-2.09,-3.02,-1.9,-2.94,-1.98,-3.19,-1.73,-3.21,-1.71,1.18,1.12,1.46,0.055,0.0,0.0,0.0,0.0,0.0,7,0.804,2.5,0.036,0.036,0.096,102,11,168,A,A,-2.841
170,Kyle Kuzma,guard,2024,20812.0,-2.6,-2.355,0.324,0.314,0.912,-3.13,-2.07,-3.23,-1.97,-2.76,-1.95,-2.97,-1.74,-2.93,-1.78,-3.24,-1.47,-3.1,-1.6,1.27,1.23,1.77,0.129,0.0,0.0,0.0,0.0,0.0,8,1.101,3.302,0.001,0.011,0.168,87,13,170,A,B,-2.842
171,Bilal Coulibaly,guard,2024,3583.0,-4.18,-2.611,0.591,0.453,0.642,-5.15,-3.21,-5.34,-3.02,-3.19,-2.03,-3.5,-1.72,-3.57,-1.66,-4.07,-1.15,-3.36,-1.86,2.32,1.78,2.92,0.089,0.0,0.0,0.0,0.0,0.0,3,0.478,2.5,0.004,0.026,0.182,90,13,176,A,B,-2.981
172,Scoot Henderson,guard,2024,3549.0,-4.39,-2.736,0.593,0.462,0.64,-5.37,-3.41,-5.55,-3.23,-3.33,-2.14,-3.64,-1.83,-3.7,-1.77,-4.21,-1.26,-3.49,-1.99,2.33,1.81,2.95,0.056,0.0,0.0,0.0,0.0,0.0,3,0.536,2.5,0.001,0.009,0.157,87,14,170,A,B,-3.128
173,Brandon Miller,guard,2024,4751.0,-3.26,-2.235,1.06,0.916,0.704,-5.0,-1.52,-5.34,-1.18,-3.41,-1.06,-4.03,-0.44,-4.03,-0.44,-4.98,0.51,-2.98,-1.48,4.16,3.59,5.49,0.399,0.007,0.0,0.0,0.0,0.0,3,1.722,5.167,0.079,0.115,0.188,86,2,174,C,C,-3.21
174,Gradey Dick,guard,2024,2590.0,-5.46,-2.994,0.695,0.478,0.564,-6.6,-4.32,-6.82,-4.1,-3.61,-2.38,-3.93,-2.06,-4.07,-1.91,-4.65,-1.34,-3.74,-2.24,2.72,1.87,3.31,0.019,0.0,0.0,0.0,0.0,0.0,2,0.38,2.5,0.024,0.082,0.143,100,6,178,A,C,-3.347
175,Gary Trent,guard,2024,19475.0,-3.33,-3.001,0.3,0.286,0.907,-3.82,-2.84,-3.92,-2.74,-3.37,-2.63,-3.56,-2.44,-3.49,-2.51,-3.75,-2.25,-3.75,-2.25,1.18,1.12,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7,0.798,2.5,0.013,0.013,0.069,124,11,173,A,A,-3.383
176,Lonnie Walker,guard,2024,13097.0,-3.67,-3.157,0.337,0.323,0.868,-4.22,-3.12,-4.33,-3.01,-3.57,-2.74,-3.79,-2.52,-3.76,-2.56,-4.07,-2.24,-3.91,-2.41,1.32,1.27,1.83,0.0,0.0,0.0,0.0,0.0,0.0,6,0.91,2.73,0.0,0.0,0.095,116,17,167,A,A,-3.592
177,Norman Powell,guard,2024,17729.0,-3.6,-3.215,0.476,0.457,0.899,-4.38,-2.82,-4.53,-2.67,-3.8,-2.63,-4.11,-2.32,-4.06,-2.37,-4.51,-1.92,-3.96,-2.46,1.87,1.79,2.59,0.004,0.0,0.0,0.0,0.0,0.0,10,1.495,4.484,0.0,0.0,0.047,96,30,158,A,B,-3.892
178,Aleksej Pokusevski,guard,2024,6987.0,-4.57,-3.508,0.514,0.472,0.777,-5.42,-3.72,-5.58,-3.56,-4.11,-2.9,-4.43,-2.58,-4.4,-2.61,-4.88,-2.14,-4.26,-2.76,2.02,1.85,2.74,0.001,0.0,0.0,0.0,0.0,0.0,4,1.013,3.039,0.007,0.036,0.166,97,13,176,A,B,-4.048
179,Killian Hayes,guard,2024,11113.0,-4.56,-3.834,0.335,0.31,0.847,-5.11,-4.01,-5.22,-3.9,-4.23,-3.44,-4.44,-3.23,-4.42,-3.25,-4.73,-2.94,-4.58,-3.08,1.31,1.22,1.79,0.0,0.0,0.0,0.0,0.0,0.0,5,0.64,2.5,0.002,0.021,0.191,87,13,176,A,A,-4.181
180,Jordan Nwora,guard,2024,6960.0,-5.84,-4.492,0.57,0.521,0.777,-6.78,-4.9,-6.96,-4.72,-5.16,-3.82,-5.51,-3.47,-5.48,-3.5,-6.01,-2.98,-5.24,-3.74,2.24,2.04,3.03,0.0,0.0,0.0,0.0,0.0,0.0,3,1.121,3.363,0.021,0.075,0.167,90,9,177,B,B,-5.089
181,James Wiseman,guard,2024,5777.0,-6.68,-4.911,0.465,0.407,0.743,-7.45,-5.91,-7.59,-5.77,-5.43,-4.39,-5.71,-4.11,-5.7,-4.12,-6.12,-3.7,-5.66,-4.16,1.82,1.59,2.42,0.0,0.0,0.0,0.0,0.0,0.0,3,0.669,2.5,0.024,0.089,0.161,90,6,177,A,B,-5.315
